ALV-6000/E-WIN Data
Date :	"11/7/2025"
Time :	"1:53:02 PM"
Samplename : 	"NaCl - 0.085 micrometer"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.15907
Viscosity [cp]  :	       1.02645
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	     154.99900
Duration [s]    :	        20
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     429.78455
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  1.24093E+000
  2.50000E-004	  1.61589E+000
  3.75000E-004	  1.61135E+000
  5.00000E-004	  1.61144E+000
  6.25000E-004	  1.60369E+000
  7.50000E-004	  1.59708E+000
  8.75000E-004	  1.59722E+000
  1.00000E-003	  1.59962E+000
  1.12500E-003	  1.59582E+000
  1.25000E-003	  1.59669E+000
  1.37500E-003	  1.59432E+000
  1.50000E-003	  1.59296E+000
  1.62500E-003	  1.59081E+000
  1.75000E-003	  1.59137E+000
  1.87500E-003	  1.58722E+000
  2.00000E-003	  1.58542E+000
  2.25000E-003	  1.58425E+000
  2.50000E-003	  1.58080E+000
  2.75000E-003	  1.57780E+000
  3.00000E-003	  1.57488E+000
  3.25000E-003	  1.57269E+000
  3.50000E-003	  1.56920E+000
  3.75000E-003	  1.56669E+000
  4.00000E-003	  1.56573E+000
  4.50000E-003	  1.56076E+000
  5.00000E-003	  1.55369E+000
  5.50000E-003	  1.55008E+000
  6.00000E-003	  1.54637E+000
  6.50000E-003	  1.54166E+000
  7.00000E-003	  1.53466E+000
  7.50000E-003	  1.53141E+000
  8.00000E-003	  1.52627E+000
  9.00000E-003	  1.51637E+000
  1.00000E-002	  1.50558E+000
  1.10000E-002	  1.49711E+000
  1.20000E-002	  1.48747E+000
  1.30000E-002	  1.47696E+000
  1.40000E-002	  1.46848E+000
  1.50000E-002	  1.45700E+000
  1.60000E-002	  1.44858E+000
  1.80000E-002	  1.42987E+000
  2.00000E-002	  1.41223E+000
