ALV-6000/E-WIN Data
Date :	"11/13/2025"
Time :	"10:24:50 AM"
Samplename : 	"NaCl - 465nm"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     291.88360
Viscosity [cp]  :	       1.03348
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      44.99900
Duration [s]    :	        20
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     220.98572
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  1.35851E+000
  2.50000E-004	  1.75186E+000
  3.75000E-004	  1.75127E+000
  5.00000E-004	  1.75008E+000
  6.25000E-004	  1.73748E+000
  7.50000E-004	  1.73006E+000
  8.75000E-004	  1.73697E+000
  1.00000E-003	  1.73806E+000
  1.12500E-003	  1.72569E+000
  1.25000E-003	  1.73536E+000
  1.37500E-003	  1.74084E+000
  1.50000E-003	  1.73972E+000
  1.62500E-003	  1.73426E+000
  1.75000E-003	  1.73847E+000
  1.87500E-003	  1.73794E+000
  2.00000E-003	  1.73450E+000
  2.25000E-003	  1.73312E+000
  2.50000E-003	  1.74058E+000
  2.75000E-003	  1.72964E+000
  3.00000E-003	  1.73767E+000
  3.25000E-003	  1.73573E+000
  3.50000E-003	  1.73471E+000
  3.75000E-003	  1.73968E+000
  4.00000E-003	  1.73628E+000
  4.50000E-003	  1.73763E+000
  5.00000E-003	  1.73471E+000
  5.50000E-003	  1.73788E+000
  6.00000E-003	  1.73287E+000
  6.50000E-003	  1.73409E+000
  7.00000E-003	  1.73509E+000
  7.50000E-003	  1.73715E+000
  8.00000E-003	  1.73255E+000
  9.00000E-003	  1.73346E+000
  1.00000E-002	  1.73291E+000
  1.10000E-002	  1.73451E+000
  1.20000E-002	  1.73197E+000
  1.30000E-002	  1.73640E+000
  1.40000E-002	  1.73281E+000
  1.50000E-002	  1.73356E+000
  1.60000E-002	  1.73247E+000
  1.80000E-002	  1.73365E+000
  2.00000E-002	  1.73387E+000
  2.20000E-002	  1.72838E+000
  2.40000E-002	  1.73126E+000
  2.60000E-002	  1.73058E+000
  2.80000E-002	  1.72703E+000
  3.00000E-002	  1.73146E+000
  3.20000E-002	  1.72798E+000
  3.60000E-002	  1.72810E+000
  4.00000E-002	  1.72576E+000
  4.40000E-002	  1.72598E+000
  4.80000E-002	  1.72345E+000
  5.20000E-002	  1.72338E+000
  5.60000E-002	  1.72193E+000
  6.00000E-002	  1.72128E+000
  6.40000E-002	  1.71967E+000
  7.20000E-002	  1.71805E+000
  8.00000E-002	  1.71609E+000
  8.80000E-002	  1.71380E+000
  9.60000E-002	  1.71200E+000
  1.04000E-001	  1.71050E+000
  1.12000E-001	  1.70773E+000
  1.20000E-001	  1.70563E+000
  1.28000E-001	  1.70384E+000
  1.44000E-001	  1.69954E+000
  1.60000E-001	  1.69532E+000
  1.76000E-001	  1.69121E+000
  1.92000E-001	  1.68819E+000
  2.08000E-001	  1.68369E+000
  2.24000E-001	  1.67826E+000
  2.40000E-001	  1.67510E+000
  2.56000E-001	  1.67032E+000
  2.88000E-001	  1.66231E+000
  3.20000E-001	  1.65468E+000
  3.52000E-001	  1.64707E+000
  3.84000E-001	  1.63873E+000
  4.16000E-001	  1.63081E+000
  4.48000E-001	  1.62339E+000
  4.80000E-001	  1.61497E+000
  5.12000E-001	  1.60736E+000
  5.76000E-001	  1.59161E+000
  6.40000E-001	  1.57654E+000
  7.04000E-001	  1.56168E+000
  7.68000E-001	  1.54673E+000
  8.32000E-001	  1.53171E+000
  8.96000E-001	  1.51706E+000
  9.60000E-001	  1.50361E+000
  1.02400E+000	  1.48914E+000
  1.15200E+000	  1.46020E+000
  1.28000E+000	  1.43243E+000
  1.40800E+000	  1.40457E+000
  1.53600E+000	  1.37795E+000
  1.66400E+000	  1.35166E+000
  1.79200E+000	  1.32573E+000
  1.92000E+000	  1.30016E+000
  2.01600E+000	  1.27893E+000
  2.27200E+000	  1.22938E+000
  2.52800E+000	  1.18233E+000
  2.78400E+000	  1.13707E+000
  3.04000E+000	  1.09337E+000
  3.29600E+000	  1.05202E+000
  3.55200E+000	  1.01195E+000
  3.80800E+000	  9.73586E-001
  4.06400E+000	  9.37204E-001
  4.57600E+000	  8.67393E-001
  5.08800E+000	  8.01870E-001
  5.60000E+000	  7.40153E-001
  6.11200E+000	  6.82805E-001
  6.62400E+000	  6.28674E-001
  7.13600E+000	  5.78678E-001
  7.64800E+000	  5.32298E-001
  8.16000E+000	  4.91753E-001
  9.18400E+000	  4.18441E-001
  1.02080E+001	  3.56972E-001
  1.12320E+001	  3.04417E-001
  1.22560E+001	  2.59302E-001
  1.32800E+001	  2.19355E-001
  1.43040E+001	  1.85284E-001
  1.53280E+001	  1.56113E-001
  1.63520E+001	  1.33473E-001
  1.84000E+001	  9.83842E-002
  2.04480E+001	  6.94025E-002
  2.24960E+001	  4.73069E-002
  2.45440E+001	  3.40940E-002
  2.65920E+001	  2.93428E-002
  2.86400E+001	  2.00533E-002
  3.06880E+001	  1.20454E-002
  3.27360E+001	  7.24132E-003
  3.68320E+001	  4.90500E-003
  4.09280E+001	  3.34308E-003
  4.50240E+001	  4.33410E-005
  4.91200E+001	 -3.70198E-003
  5.32160E+001	 -5.59888E-003
  5.73120E+001	 -1.39017E-002
  6.14080E+001	 -9.43233E-003
  6.55040E+001	 -6.27033E-004
  7.36960E+001	 -1.56137E-002
  8.18880E+001	 -1.78724E-002
  9.00800E+001	 -1.29822E-002
  9.82720E+001	 -2.94856E-003
  1.06464E+002	  8.37420E-003
  1.14656E+002	 -1.70574E-002
  1.22848E+002	 -4.42943E-002
  1.31040E+002	 -1.41228E-002
  1.47424E+002	  2.65886E-002
  1.63808E+002	  4.80391E-002
  1.80192E+002	  1.14894E-002
  1.96576E+002	  1.13844E-002
  2.12960E+002	  5.68650E-002
  2.29344E+002	  1.80672E-002
  2.45728E+002	  2.93946E-003
  2.62112E+002	  2.33863E-002
  2.94880E+002	  9.92593E-003
  3.27648E+002	  5.51456E-003
  3.60416E+002	  1.63714E-002
  3.93184E+002	 -5.01225E-003
  4.25952E+002	 -7.96865E-003
  4.58720E+002	 -1.02609E-002
  4.91488E+002	 -1.69823E-002
  5.24256E+002	  2.08366E-003
  5.89792E+002	 -7.06245E-003
  6.55328E+002	 -3.14472E-002
  7.20864E+002	  8.27320E-003
  7.86400E+002	 -2.68052E-003
  8.51936E+002	 -8.99536E-003
  9.17472E+002	  1.88135E-002
  9.83008E+002	 -2.43377E-003
  1.04854E+003	 -1.22741E-002
  1.17962E+003	 -7.23603E-003
  1.31069E+003	 -9.67875E-003
  1.44176E+003	  1.05701E-002
  1.57283E+003	 -1.39759E-002
  1.70390E+003	 -3.22184E-003
  1.83498E+003	 -1.64694E-003
  1.96605E+003	  1.01164E-003
  2.09712E+003	 -7.40219E-003
  2.35926E+003	  4.88202E-003
  2.62141E+003	  1.03234E-002
  2.88355E+003	  8.30909E-003
  3.14570E+003	 -1.60657E-002
  3.40784E+003	 -6.03181E-003
  3.66998E+003	 -5.40853E-003
  3.93213E+003	  1.27482E-003
  4.19427E+003	  5.00479E-003
  4.71856E+003	 -9.08715E-003
  5.24285E+003	  4.28316E-003
  5.76714E+003	  1.32722E-002
  6.29142E+003	 -1.06665E-002
  6.81571E+003	 -1.40674E-002
  7.34000E+003	 -5.04602E-003
  7.86429E+003	  6.36347E-003

"Count Rate"
       0.07813	     281.65982
       0.15625	     365.94516
       0.23438	     118.26331
       0.31250	     227.53586
       0.39063	     205.43033
       0.46875	     299.97437
       0.54688	     202.65112
       0.62500	     228.20184
       0.70313	     295.70953
       0.78125	     210.79662
       0.85938	     201.80583
       0.93750	     166.59836
       1.01563	     156.99283
       1.09375	     177.42059
       1.17188	     121.64446
       1.25000	     147.23360
       1.32813	     163.03790
       1.40625	     365.33041
       1.48438	     267.84067
       1.56250	     261.65469
       1.64063	     135.47643
       1.71875	     227.01076
       1.79688	     111.94928
       1.87500	     210.33554
       1.95313	     264.66443
       2.03125	     139.51076
       2.10938	     241.40625
       2.18750	     238.90880
       2.26563	      81.63422
       2.34375	     225.25613
       2.42188	     120.44057
       2.50000	     296.61884
       2.57813	     256.64703
       2.65625	     303.40677
       2.73438	     192.80225
       2.81250	     322.11832
       2.89063	     226.03738
       2.96875	     150.05122
       3.04688	     148.42468
       3.12500	     136.14241
       3.20313	     150.14088
       3.28125	     149.56454
       3.35938	     232.45389
       3.43750	     126.84426
       3.51563	     258.78586
       3.59375	     312.46158
       3.67188	     136.11681
       3.75000	     115.88114
       3.82813	     227.20287
       3.90625	     172.25922
       3.98438	     164.83093
       4.06250	     130.84016
       4.14063	     134.55431
       4.21875	     151.94672
       4.29688	     314.30582
       4.37500	     211.97488
       4.45313	     162.06454
       4.53125	     266.25256
       4.60938	     181.62141
       4.68750	     422.82272
       4.76563	     248.82172
       4.84375	     139.79251
       4.92188	     330.64804
       5.00000	     174.09067
       5.07813	     279.20081
       5.15625	     319.37756
       5.23438	     178.44518
       5.31250	     265.35605
       5.39063	     242.21310
       5.46875	     142.80225
       5.54688	     221.04251
       5.62500	     222.80994
       5.70313	     243.63472
       5.78125	     134.20850
       5.85938	     306.32684
       5.93750	     227.84323
       6.01563	     217.68698
       6.09375	     235.46362
       6.17188	     407.65881
       6.25000	     226.69057
       6.32813	     243.25050
       6.40625	     201.30635
       6.48438	     240.47130
       6.56250	     280.45593
       6.64063	     305.62244
       6.71875	     189.13934
       6.79688	     181.63422
       6.87500	     310.29712
       6.95313	     180.16136
       7.03125	     184.54149
       7.10938	     282.54355
       7.18750	     158.24794
       7.26563	     154.54662
       7.34375	     250.26895
       7.42188	     251.10143
       7.50000	     214.02408
       7.57813	     119.01895
       7.65625	     248.23257
       7.73438	     281.94159
       7.81250	     282.50513
       7.89063	     213.78073
       7.96875	     436.21924
       8.04688	     262.19263
       8.12500	     113.66547
       8.20313	     209.83606
       8.28125	     152.11322
       8.35938	     357.46671
       8.43750	     143.76280
       8.51563	     212.17981
       8.59375	     219.65932
       8.67188	     180.35349
       8.75000	     290.59937
       8.82813	     184.56711
       8.90625	     205.22540
       8.98438	     176.49846
       9.06250	     443.59631
       9.14063	     263.63986
       9.21875	     160.54047
       9.29688	     122.46413
       9.37500	     210.93750
       9.45313	     115.62500
       9.53125	     116.21413
       9.60938	     241.31659
       9.68750	     270.72232
       9.76563	     142.08504
       9.84375	     255.77612
       9.92188	     165.53534
      10.00000	     147.73309
      10.07813	     170.81198
      10.15625	     327.27969
      10.23438	     110.96311
      10.31250	     165.48412
      10.39063	     173.46310
      10.46875	     315.77869
      10.54688	     216.73924
      10.62500	     347.57941
      10.70313	     229.35451
      10.78125	     384.43903
      10.85938	     233.90112
      10.93750	     166.30379
      11.01563	     340.88113
      11.09375	     233.20952
      11.17188	     139.94620
      11.25000	     222.13113
      11.32813	     112.34631
      11.40625	     248.91136
      11.48438	     138.02510
      11.56250	     146.11935
      11.64063	     311.09119
      11.71875	     127.49744
      11.79688	     279.12396
      11.87500	     248.48872
      11.95313	     219.27510
      12.03125	     162.00050
      12.10938	     371.08093
      12.18750	     141.86731
      12.26563	     172.77151
      12.34375	     201.31915
      12.42188	     182.24898
      12.50000	     321.19620
      12.57813	      90.67622
      12.65625	     243.54507
      12.73438	     141.41905
      12.81250	     114.81813
      12.89063	     113.62704
      12.96875	     148.27100
      13.04688	     228.13780
      13.12500	     196.19620
      13.20313	     190.97079
      13.28125	     155.58401
      13.35938	     123.50153
      13.43750	     255.60962
      13.51563	     295.78638
      13.59375	     303.82941
      13.67188	     162.56403
      13.75000	     208.14549
      13.82813	     127.76639
      13.90625	     231.21158
      13.98438	     245.18442
      14.06250	     222.69467
      14.14063	     156.31403
      14.21875	     216.09886
      14.29688	     226.51126
      14.37500	     151.24231
      14.45313	     393.42981
      14.53125	      88.67828
      14.60938	     464.52356
      14.68750	     181.67264
      14.76563	      97.98924
      14.84375	     384.23410
      14.92188	     154.39293
      15.00000	     211.73155
      15.07813	     186.46260
      15.15625	     248.86014
      15.23438	     269.58246
      15.31250	     126.02459
      15.39063	     181.16034
      15.46875	     160.14343
      15.54688	     265.30481
      15.62500	     100.70440
      15.70313	     290.36884
      15.78125	      91.50871
      15.85938	     147.05431
      15.93750	     183.27356
      16.01563	     206.62141
      16.09375	     236.80840
      16.17188	     204.62346
      16.25000	     243.23770
      16.32813	     245.77356
      16.40625	     351.83145
      16.48438	     287.71771
      16.56250	     156.73668
      16.64063	     212.44876
      16.71875	     174.88474
      16.79688	     213.55020
      16.87500	     313.20441
      16.95313	     329.31607
      17.03125	     180.13576
      17.10938	     421.37549
      17.18750	     251.63934
      17.26563	     299.98718
      17.34375	     328.58606
      17.42188	     274.93594
      17.50000	     172.24641
      17.57813	     258.56812
      17.65625	     182.51793
      17.73438	     111.87244
      17.81250	     141.41905
      17.89063	     299.76947
      17.96875	     138.61424
      18.04688	     301.22949
      18.12500	     319.68494
      18.20313	     300.19211
      18.28125	     190.77869
      18.35938	     254.95645
      18.43750	     138.92162
      18.51563	     438.57581
      18.59375	     196.29866
      18.67188	     154.31609
      18.75000	     250.89651
      18.82813	     213.61424
      18.90625	     209.36218
      18.98438	      70.58145
      19.06250	     144.80020
      19.14063	     111.21926
      19.21875	     346.79816
      19.29688	     340.29199
      19.37500	     379.87961
      19.45313	     278.53482
      19.53125	     314.81812
      19.60938	     204.08554
      19.68750	     173.04047
      19.76563	     508.06863
      19.84375	     190.61218
      19.92188	     316.04764

Monitor Diode	   3543.62

"Cumulant 1.Order"
FluctuationFreq. [1/ms]	 7.6042E-002
DiffCoefficient [µm²/s]	 7.4216E-001
Hydrodyn. Radius [nm]	 2.7861E+002

"Cumulant 2.Order"
FluctuationFreq. [1/ms]	 7.7534E-002
