ALV-6000/E-WIN Data
Date :	"11/13/2025"
Time :	"11:14:43 AM"
Samplename : 	"NaCl - 465nm"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.00177
Viscosity [cp]  :	       1.03045
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      74.99900
Duration [s]    :	        20
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	    1084.84497
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  1.54266E+000
  2.50000E-004	  2.02505E+000
  3.75000E-004	  2.02435E+000
  5.00000E-004	  2.02248E+000
  6.25000E-004	  2.02066E+000
  7.50000E-004	  2.02017E+000
  8.75000E-004	  2.02165E+000
  1.00000E-003	  2.01975E+000
  1.12500E-003	  2.02007E+000
  1.25000E-003	  2.01868E+000
  1.37500E-003	  2.01632E+000
  1.50000E-003	  2.01756E+000
  1.62500E-003	  2.01776E+000
  1.75000E-003	  2.01522E+000
  1.87500E-003	  2.01728E+000
  2.00000E-003	  2.01801E+000
  2.25000E-003	  2.01773E+000
  2.50000E-003	  2.01677E+000
  2.75000E-003	  2.01697E+000
  3.00000E-003	  2.01663E+000
  3.25000E-003	  2.01565E+000
  3.50000E-003	  2.01669E+000
  3.75000E-003	  2.01691E+000
  4.00000E-003	  2.01729E+000
  4.50000E-003	  2.01574E+000
  5.00000E-003	  2.01557E+000
  5.50000E-003	  2.01512E+000
  6.00000E-003	  2.01405E+000
  6.50000E-003	  2.01480E+000
  7.00000E-003	  2.01445E+000
  7.50000E-003	  2.01431E+000
  8.00000E-003	  2.01323E+000
  9.00000E-003	  2.01342E+000
  1.00000E-002	  2.01265E+000
  1.10000E-002	  2.01174E+000
  1.20000E-002	  2.01158E+000
  1.30000E-002	  2.01063E+000
  1.40000E-002	  2.00959E+000
  1.50000E-002	  2.00856E+000
  1.60000E-002	  2.00815E+000
  1.80000E-002	  2.00708E+000
  2.00000E-002	  2.00545E+000
  2.20000E-002	  2.00417E+000
  2.40000E-002	  2.00306E+000
  2.60000E-002	  2.00184E+000
  2.80000E-002	  2.00042E+000
  3.00000E-002	  1.99888E+000
  3.20000E-002	  1.99763E+000
  3.60000E-002	  1.99530E+000
  4.00000E-002	  1.99241E+000
  4.40000E-002	  1.98982E+000
  4.80000E-002	  1.98715E+000
  5.20000E-002	  1.98486E+000
  5.60000E-002	  1.98201E+000
  6.00000E-002	  1.97926E+000
  6.40000E-002	  1.97647E+000
  7.20000E-002	  1.97130E+000
  8.00000E-002	  1.96616E+000
  8.80000E-002	  1.96080E+000
  9.60000E-002	  1.95572E+000
  1.04000E-001	  1.95053E+000
  1.12000E-001	  1.94522E+000
  1.20000E-001	  1.94020E+000
  1.28000E-001	  1.93484E+000
  1.44000E-001	  1.92461E+000
  1.60000E-001	  1.91457E+000
  1.76000E-001	  1.90436E+000
  1.92000E-001	  1.89429E+000
  2.08000E-001	  1.88444E+000
  2.24000E-001	  1.87446E+000
  2.40000E-001	  1.86444E+000
  2.56000E-001	  1.85441E+000
  2.88000E-001	  1.83512E+000
  3.20000E-001	  1.81607E+000
  3.52000E-001	  1.79696E+000
  3.84000E-001	  1.77826E+000
  4.16000E-001	  1.75999E+000
  4.48000E-001	  1.74162E+000
  4.80000E-001	  1.72355E+000
  5.12000E-001	  1.70566E+000
  5.76000E-001	  1.67089E+000
  6.40000E-001	  1.63684E+000
  7.04000E-001	  1.60345E+000
  7.68000E-001	  1.57089E+000
  8.32000E-001	  1.53917E+000
  8.96000E-001	  1.50820E+000
  9.60000E-001	  1.47808E+000
  1.02400E+000	  1.44890E+000
  1.15200E+000	  1.39173E+000
  1.28000E+000	  1.33710E+000
  1.40800E+000	  1.28469E+000
  1.53600E+000	  1.23463E+000
  1.66400E+000	  1.18680E+000
  1.79200E+000	  1.14101E+000
  1.92000E+000	  1.09710E+000
  2.01600E+000	  1.06667E+000
  2.27200E+000	  9.86788E-001
  2.52800E+000	  9.13649E-001
  2.78400E+000	  8.45707E-001
  3.04000E+000	  7.82806E-001
  3.29600E+000	  7.25142E-001
  3.55200E+000	  6.71591E-001
  3.80800E+000	  6.21754E-001
  4.06400E+000	  5.77574E-001
  4.57600E+000	  4.97474E-001
  5.08800E+000	  4.28211E-001
  5.60000E+000	  3.68472E-001
  6.11200E+000	  3.19517E-001
  6.62400E+000	  2.78041E-001
  7.13600E+000	  2.42160E-001
  7.64800E+000	  2.11422E-001
  8.16000E+000	  1.87122E-001
  9.18400E+000	  1.49466E-001
  1.02080E+001	  1.23032E-001
  1.12320E+001	  1.04302E-001
  1.22560E+001	  8.69745E-002
  1.32800E+001	  7.53397E-002
  1.43040E+001	  6.63610E-002
