,tau,corrFit,corrIn
131,0.0737,0.007794453110439999,-0.00779446
132,0.08189,0.00064315496025,0.000643155
133,0.09008,0.0011451794402500002,0.00114518
134,0.09827,0.0028479086096399996,0.00284791
135,0.1065,0.008111416019560001,0.00811141
136,0.1147,0.005925027465640001,0.00592502
137,0.1228,0.0008981169859600001,0.000898118
138,0.131,0.00197769652369,0.0019777
139,0.1474,0.006864304771209999,0.00686431
140,0.1638,0.00534735337536,0.00534736
141,0.1802,0.00032338828899999996,0.000323387
142,0.1966,0.006591637483209999,-0.00659163
143,0.213,0.00409364513856,-0.00409364
144,0.2293,0.00626961492481,0.00626962
145,0.2457,0.0033920839705599997,0.00339208
146,0.2621,0.00357803759889,0.00357804
147,0.2949,0.0014695415571600002,0.00146954
148,0.3276,0.004725696289690001,-0.00472569
149,0.3604,0.00276640233156,0.0027664
150,0.3932,0.0011559320010000001,0.00115593
151,0.426,0.00105578855041,0.00105579
152,0.4587,0.0036358488039999995,0.00363585
153,0.4915,0.006290234721000001,-0.00629024
154,0.5243,0.0018044229622500001,-0.00180442
155,0.5898,0.0024179544252899998,-0.00241795
156,0.6553,0.00018784621249,-0.000187845
157,0.7209,0.0010646124865600001,0.00106461
158,0.7864,0.00105280131961,-0.0010528
159,0.8519,0.00378302493969,-0.00378302
160,0.9175,0.0027179748096399997,-0.00271797
161,0.983,0.004771659559840001,-0.00477166
162,1.049,0.0014883623884899997,-0.00148836
163,1.18,0.0016590306534400002,0.00165903
164,1.311,0.00072613541961,0.000726134
165,1.442,0.00198478269081,-0.00198478
166,1.573,0.0019971156588100003,-0.00199712
167,1.704,0.0018490172000400003,-0.00184902
168,1.835,0.00040521287400999996,0.000405211
169,1.966,0.0010637186560900002,-0.00106372
170,2.097,0.00017084319849,0.000170844
171,2.359,1.65814283209e-05,-1.65814e-05
172,2.621,0.00077081193225,-0.000770812
173,2.884,0.00031567694929,-0.000315678
174,3.146,0.0004110959002499999,-0.000411095
175,3.408,0.0008722394356899999,-0.000872241
176,3.67,0.0008287143987600001,0.000828717
177,3.932,0.00136251789129,-0.00136252
178,4.194,0.0006825574256400001,-0.000682555
179,4.719,0.0008291117124899999,-0.000829112
180,5.243,0.0019188955470400002,0.0019189
181,5.767,0.00036899336463999997,-0.000368992
